group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Neuroectoderm 1,nectin2,28.94221,3.8745258,3.5170197501482387e-184,3.837244398399236e-180,0.9822222222222222,0.5178423236514523
Neuroectoderm 1,epas1,28.474258,5.150705,2.4410696645261658e-178,1.7755527049875154e-174,0.9577777777777777,0.5643153526970954
Neuroectoderm 1,rabgap1l,28.394262,5.765513,2.3804199114372294e-177,1.2985785721867946e-173,0.9422222222222222,0.22074688796680497
Neuroectoderm 1,LOC100495222,28.206585,4.4520936,4.855363345557909e-175,2.1189776712683827e-171,0.9533333333333334,0.3991701244813278
Neuroectoderm 1,epcam,27.992146,2.4966717,2.0249641611450054e-172,7.364457160057527e-169,0.9955555555555555,0.8921161825726142
Neuroectoderm 1,hpgd,27.836432,4.994908,1.5723911311304594e-170,4.901592410342537e-167,0.9222222222222223,0.24896265560165975
Neuroectoderm 1,plpp3,26.956766,4.4681106,4.7520374882490057e-160,1.2961776253885195e-156,0.9355555555555556,0.3203319502074689
Neuroectoderm 1,ocln,26.931683,3.227897,9.350292392215524e-160,2.2670303365614996e-156,0.96,0.575103734439834
Neuroectoderm 1,atp1b2,26.922781,5.4540577,1.1886740246251635e-159,2.593805589134569e-156,0.8888888888888888,0.11037344398340249
Neuroectoderm 1,upk3b,26.817179,6.551247,2.037405450794133e-158,4.041656758343525e-155,0.8688888888888889,0.06887966804979254
Neuroectoderm 1,phldb3,26.666494,5.6317835,1.1522717712085782e-156,2.0953101932951985e-153,0.88,0.16016597510373445
Neuroectoderm 1,LOC100494753,26.635513,5.4889956,2.634173486431341e-156,4.421561511339868e-153,0.8888888888888888,0.1941908713692946
Neuroectoderm 1,tjp3,26.14785,5.326002,1.0425809800119852e-150,1.5166773043227687e-147,0.8622222222222222,0.13278008298755187
Neuroectoderm 1,rassf7,26.132591,5.376953,1.5545138719208685e-150,2.1200654499490796e-147,0.8622222222222222,0.08796680497925312
Neuroectoderm 1,spint2,25.655392,3.2543983,3.68114218076349e-145,4.725070795672948e-142,0.9511111111111111,0.4829875518672199
Neuroectoderm 1,kifc3,25.390781,5.737835,3.1882464157681665e-142,3.865040279915397e-139,0.8355555555555556,0.08132780082987552
Neuroectoderm 1,dcbld1,25.036695,3.0138302,2.4374199468102433e-138,2.7993126662813854e-135,0.9422222222222222,0.6448132780082988
Neuroectoderm 1,gramd2b,24.963175,4.5052476,1.536233761009005e-137,1.6761078449488748e-134,0.8577777777777778,0.22572614107883818
Neuroectoderm 1,LOC595077,24.661398,6.040666,2.777215382788507e-134,2.885791279420382e-131,0.8066666666666666,0.06473029045643154
Neuroectoderm 1,itpr3,24.463432,2.7714818,3.621333060239685e-132,3.59186857761319e-129,0.9555555555555556,0.8
Neuroectoderm 1,palm2,24.272692,3.4377935,3.809385510537769e-130,3.614113096758464e-127,0.8911111111111111,0.3659751037344398
Neuroectoderm 1,LOC100489839,24.151484,3.73908,7.203420014685507e-129,6.549409505852185e-126,0.8666666666666667,0.3153526970954357
Neuroectoderm 1,prss27,24.078365,5.3536224,4.2131686751613225e-128,3.6774221464278086e-125,0.7977777777777778,0.08879668049792531
