group,names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference
Neural Plate Border 1,znf750,11.370144,5.4664383,5.889072929242183e-30,7.346366882324018e-26,0.9354838709677419,0.09090909090909091
Neural Plate Border 1,camk2g,11.367871,3.1713917,6.0443759902332545e-30,7.346366882324018e-26,0.9758064516129032,0.45454545454545453
Neural Plate Border 1,gna14,11.311066,2.4923058,1.1567556626197837e-29,8.453281193509725e-26,1.0,0.6022727272727273
Neural Plate Border 1,pcdh1,11.256533,2.9745317,2.1505403932553377e-29,1.2572489247049356e-25,0.9838709677419355,0.42045454545454547
Neural Plate Border 1,tmem45b,11.086117,4.683577,1.4651012736468076e-28,6.118053618567119e-25,0.9354838709677419,0.13636363636363635
Neural Plate Border 1,pkp3,11.054306,3.7934575,2.089462431709989e-28,6.872798752290249e-25,0.9354838709677419,0.2727272727272727
Neural Plate Border 1,myo5c,11.05317,4.0557556,2.116081857295756e-28,6.872798752290249e-25,0.9435483870967742,0.19318181818181818
Neural Plate Border 1,gfpt1,11.038401,3.3809595,2.4943334368299063e-28,7.160527011221857e-25,0.9516129032258065,0.3409090909090909
Neural Plate Border 1,scel,11.024767,4.754306,2.902679757005386e-28,7.160527011221857e-25,0.9193548387096774,0.13636363636363635
Neural Plate Border 1,ppl,11.023631,3.451892,2.939561565962926e-28,7.160527011221857e-25,0.9758064516129032,0.3068181818181818
Neural Plate Border 1,dsc3,10.9906845,3.56206,4.237017770404674e-28,9.527097418976848e-25,0.9596774193548387,0.25
Neural Plate Border 1,akap9,10.941832,2.0117292,7.271574131610034e-28,1.4170358896072862e-24,0.9919354838709677,0.6931818181818182
Neural Plate Border 1,ezr,10.906612,4.605297,1.0717607793979796e-27,1.9580399589113966e-24,0.9193548387096774,0.11363636363636363
Neural Plate Border 1,crybg1,10.833901,3.4721587,2.3780187961823065e-27,4.088933378306176e-24,0.9435483870967742,0.3181818181818182
Neural Plate Border 1,osbpl2,10.821404,3.5462465,2.725679913139912e-27,4.352261190749359e-24,0.9274193548387096,0.2840909090909091
Neural Plate Border 1,muc4,10.817996,3.7883854,2.828947440191503e-27,4.352261190749359e-24,0.9354838709677419,0.3181818181818182
Neural Plate Border 1,evpl,10.77028,3.5047202,4.7555398016494875e-27,6.950459197100808e-24,0.9354838709677419,0.3068181818181818
Neural Plate Border 1,mgat4g,10.7361965,3.7754369,6.882153238945936e-27,9.579629587029936e-24,0.9193548387096774,0.23863636363636365
Neural Plate Border 1,vill,10.7237,4.2076178,7.878761682961372e-27,9.714634831360455e-24,0.9112903225806451,0.17045454545454544
Neural Plate Border 1,znf185,10.722564,3.9806178,7.976163523404979e-27,9.714634831360455e-24,0.9193548387096774,0.20454545454545456
Neural Plate Border 1,map7,10.6998415,4.284315,1.0195276444129157e-26,1.1920725029533575e-23,0.9032258064516129,0.18181818181818182
Neural Plate Border 1,krt7,10.686208,2.1782005,1.1810145458669346e-26,1.327778315009091e-23,1.0,0.6363636363636364
Neural Plate Border 1,LOC100486856,10.674847,6.4533286,1.3347736734558186e-26,1.445065527732853e-23,0.8709677419354839,0.03409090909090909
Neural Plate Border 1,cd9,10.661214,3.922003,1.5456712132428656e-26,1.5579832839414555e-23,0.9112903225806451,0.20454545454545456
Neural Plate Border 1,elapor1,10.5907755,4.7791305,3.2885743759673946e-26,3.2042772527967636e-23,0.8790322580645161,0.13636363636363635
Neural Plate Border 1,arhgef25,10.555556,2.7120697,4.7879733869881847e-26,4.514750002421021e-23,0.9758064516129032,0.4659090909090909
Neural Plate Border 1,clint1,10.53397,2.79569,6.023920758890694e-26,5.466318670926868e-23,0.967741935483871,0.3977272727272727
Neural Plate Border 1,LOC100489670,10.531697,5.0965414,6.171137358988288e-26,5.466318670926868e-23,0.8709677419354839,0.10227272727272728
Neural Plate Border 1,LOC100486361,10.516929,4.2296996,7.218879381194893e-26,6.102114281191839e-23,0.8951612903225806,0.14772727272727273
Neural Plate Border 1,gmds,10.515792,3.6897686,7.306421259680284e-26,6.102114281191839e-23,0.9032258064516129,0.3409090909090909
Neural Plate Border 1,golm1,10.479437,4.1964846,1.0738133902168659e-25,8.719066447063668e-23,0.9112903225806451,0.13636363636363635
Neural Plate Border 1,dsg2,10.47262,2.4085755,1.154037663553452e-25,9.1172094441435e-23,0.9758064516129032,0.5227272727272727
Neural Plate Border 1,cers2,10.436265,4.3637033,1.6934342711200236e-25,1.2692506969002412e-22,0.8870967741935484,0.13636363636363635
Neural Plate Border 1,sgsm3,10.436265,4.8067155,1.6934342711200236e-25,1.2692506969002412e-22,0.8709677419354839,0.09090909090909091
Neural Plate Border 1,baiap2l1,10.4271755,3.426328,1.8634447708367055e-25,1.3617588524081934e-22,0.9274193548387096,0.2727272727272727
Neural Plate Border 1,itpr3,10.382868,1.6931096,2.9672534767625256e-25,2.065137770934414e-22,0.9919354838709677,0.8068181818181818
Neural Plate Border 1,krt12.3,10.377188,2.313184,3.149168148894008e-25,2.140775213030715e-22,0.9516129032258065,0.5568181818181818
Neural Plate Border 1,LOC100485898,10.374915,5.146129,3.224990517943346e-25,2.142493132500044e-22,0.8709677419354839,0.07954545454545454
Neural Plate Border 1,gnb3,10.35901,2.8621805,3.8088542608514463e-25,2.4203612804119267e-22,0.9516129032258065,0.4431818181818182
Neural Plate Border 1,krt70,10.3362875,1.7955428,4.828836145322247e-25,3.003227858806694e-22,1.0,0.7386363636363636
Neural Plate Border 1,smap1,10.287435,2.3258007,8.028665831971793e-25,4.889290227799322e-22,0.9435483870967742,0.5568181818181818
Neural Plate Border 1,rbbp8nl,10.284027,5.265895,8.317824708260882e-25,4.962006817289262e-22,0.8548387096774194,0.06818181818181818
Neural Plate Border 1,kitlg,10.245399,2.8188877,1.2411168200174681e-24,7.255817153186122e-22,0.9354838709677419,0.4431818181818182
Neural Plate Border 1,LOC100489839,10.234038,3.1376479,1.3957542158564698e-24,7.999861075235386e-22,0.9193548387096774,0.3522727272727273
Neural Plate Border 1,adipor2,10.216996,4.0058174,1.6641758845535487e-24,9.354908707958612e-22,0.8790322580645161,0.14772727272727273
Neural Plate Border 1,golga4,10.199955,2.6526268,1.983647587751592e-24,1.0940377856144678e-21,0.9435483870967742,0.4318181818181818
Neural Plate Border 1,capns2,10.187458,4.0633545,2.2558642922072046e-24,1.2211327615834963e-21,0.8790322580645161,0.14772727272727273
Neural Plate Border 1,mfsd6,10.177233,3.2276728,2.5058620966199997e-24,1.3317973626599857e-21,0.967741935483871,0.3068181818181818
Neural Plate Border 1,rab25,10.165872,4.7613363,2.8159191103471316e-24,1.4698594913313752e-21,0.8548387096774194,0.09090909090909091
Neural Plate Border 1,anxa11,10.120427,3.213159,4.484528531432576e-24,2.2997763772334324e-21,0.9032258064516129,0.2840909090909091
Neural Plate Border 1,tm9sf2,10.109066,2.8411977,5.0361898908484425e-24,2.538152874127428e-21,0.9193548387096774,0.38636363636363635
Neural Plate Border 1,LOC101734097,10.089752,3.6677213,6.132388477569009e-24,2.987597459796995e-21,0.9112903225806451,0.19318181818181818
Neural Plate Border 1,nipal3,10.063622,5.011841,7.999962620823435e-24,3.771724312407901e-21,0.8306451612903226,0.09090909090909091
Neural Plate Border 1,galnt7,10.012497,2.398277,1.3431823937232118e-23,6.134775711081751e-21,0.9274193548387096,0.5568181818181818
Neural Plate Border 1,zbtb7b,10.006817,3.1858978,1.422560694134864e-23,6.397364869270186e-21,0.9112903225806451,0.2727272727272727
Neural Plate Border 1,parm1,9.9909115,4.287826,1.670387511148512e-23,7.398045051270023e-21,0.8548387096774194,0.125
Neural Plate Border 1,plcb4,9.98523,1.7295793,1.768887848687103e-23,7.691481608388948e-21,0.9919354838709677,0.7386363636363636
Neural Plate Border 1,LOC101733293,9.984095,3.1143136,1.7892673852090195e-23,7.691481608388948e-21,0.9112903225806451,0.3181818181818182
Neural Plate Border 1,klf5,9.882981,4.6210146,4.934258548131064e-23,2.0903378495712915e-20,0.8306451612903226,0.10227272727272728
